model_name,model_display_name,model_description,dataset_type,learning_rate,iteration,epochs_trained,train_metrics,val_metrics,test_metrics,test_accuracy,val_accuracy,train_accuracy,test_precision,val_precision,train_precision,test_recall,val_recall,train_recall,test_f1,val_f1,train_f1
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,0.0005,3,14,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.7636363636363638, 'recall': 0.61, 'f1': 0.4723423838011966, 'accuracy': 0.61}",0.61,0.6,0.6,0.7636363636363638,0.36,0.5024390243902439,0.61,0.6,0.6,0.4723423838011966,0.44999999999999996,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,0.0005,4,47,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.6316151202749141, 'recall': 0.61, 'f1': 0.48816471633832026, 'accuracy': 0.61}",0.61,0.5333333333333333,0.6,0.6316151202749141,0.3428571428571428,0.5024390243902439,0.61,0.5333333333333333,0.6,0.48816471633832026,0.41739130434782606,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-05,0,91,"{'precision': 0.6152941176470588, 'recall': 0.6235294117647059, 'f1': 0.5247584201144572, 'accuracy': 0.6235294117647059}","{'precision': 0.6666666666666666, 'recall': 0.6666666666666666, 'f1': 0.6349206349206349, 'accuracy': 0.6666666666666666}","{'precision': 0.508695652173913, 'recall': 0.58, 'f1': 0.4842105263157894, 'accuracy': 0.58}",0.58,0.6666666666666666,0.6235294117647059,0.508695652173913,0.6666666666666666,0.6152941176470588,0.58,0.6666666666666666,0.6235294117647059,0.4842105263157894,0.6349206349206349,0.5247584201144572
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-05,1,73,"{'precision': 0.3655667144906743, 'recall': 0.5764705882352941, 'f1': 0.4474100087796313, 'accuracy': 0.5764705882352941}","{'precision': 0.7857142857142858, 'recall': 0.6666666666666666, 'f1': 0.5838509316770186, 'accuracy': 0.6666666666666666}","{'precision': 0.6063157894736843, 'recall': 0.61, 'f1': 0.5023655913978495, 'accuracy': 0.61}",0.61,0.6666666666666666,0.5764705882352941,0.6063157894736843,0.7857142857142858,0.3655667144906743,0.61,0.6666666666666666,0.5764705882352941,0.5023655913978495,0.5838509316770186,0.4474100087796313
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-05,2,89,"{'precision': 0.5024390243902439, 'recall': 0.6, 'f1': 0.47810945273631833, 'accuracy': 0.6}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.49209621993127145, 'recall': 0.59, 'f1': 0.4619167530736187, 'accuracy': 0.59}",0.59,0.5333333333333333,0.6,0.49209621993127145,0.3428571428571428,0.5024390243902439,0.59,0.5333333333333333,0.6,0.4619167530736187,0.41739130434782606,0.47810945273631833
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-05,3,48,"{'precision': 0.6763616557734204, 'recall': 0.6352941176470588, 'f1': 0.5321300070526077, 'accuracy': 0.6352941176470588}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.508695652173913, 'recall': 0.58, 'f1': 0.4842105263157894, 'accuracy': 0.58}",0.58,0.5333333333333333,0.6352941176470588,0.508695652173913,0.3428571428571428,0.6763616557734204,0.58,0.5333333333333333,0.6352941176470588,0.4842105263157894,0.41739130434782606,0.5321300070526077
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,1e-05,4,83,"{'precision': 0.3714285714285714, 'recall': 0.6, 'f1': 0.45882352941176463, 'accuracy': 0.6}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}",0.6,0.6,0.6,0.36,0.36,0.3714285714285714,0.6,0.6,0.6,0.44999999999999996,0.44999999999999996,0.45882352941176463
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-05,0,74,"{'precision': 0.3655667144906743, 'recall': 0.5764705882352941, 'f1': 0.4474100087796313, 'accuracy': 0.5764705882352941}","{'precision': 0.3428571428571428, 'recall': 0.5333333333333333, 'f1': 0.41739130434782606, 'accuracy': 0.5333333333333333}","{'precision': 0.7636363636363638, 'recall': 0.61, 'f1': 0.4723423838011966, 'accuracy': 0.61}",0.61,0.5333333333333333,0.5764705882352941,0.7636363636363638,0.3428571428571428,0.3655667144906743,0.61,0.5333333333333333,0.5764705882352941,0.4723423838011966,0.41739130434782606,0.4474100087796313
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-05,1,36,"{'precision': 0.6393113342898135, 'recall': 0.6235294117647059, 'f1': 0.5088088966930057, 'accuracy': 0.6235294117647059}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.6316151202749141, 'recall': 0.61, 'f1': 0.48816471633832026, 'accuracy': 0.61}",0.61,0.6,0.6235294117647059,0.6316151202749141,0.36,0.6393113342898135,0.61,0.6,0.6235294117647059,0.48816471633832026,0.44999999999999996,0.5088088966930057
bluebert,BlueBERT,Biomedical domain BlueBERT,title_abstract,2e-05,2,56,"{'precision': 0.6393113342898135, 'recall': 0.6235294117647059, 'f1': 0.5088088966930057, 'accuracy': 0.6235294117647059}","{'precision': 0.36, 'recall': 0.6, 'f1': 0.44999999999999996, 'accuracy': 0.6}","{'precision': 0.5625, 'recall': 0.6, 'f1': 0.48251748251748255, 'accuracy': 0.6}",0.6,0.6,0.6235294117647059,0.5625,0.36,0.6393113342898135,0.6,0.6,0.6235294117647059,0.48251748251748255,0.44999999999999996,0.5088088966930057
